Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,,,,,,,,,,,,
"C1,C7,C8,C10,C12,C15,C19",7,10uF,,,,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,,,
"C2,C20",2,1uF,,,,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,,,
"C3,C9,C11,C13",4,0.1uF,,,,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,,,
C4,1,10u,,,,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,,,
C5,1,22uF,,,,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,,,
C6,1,470pF,,,,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,,,
"C14,C17",2,0.01uF,,,,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,,,
"C16,C18",2,2.2uF,,,,Capacitor_SMD:C_0805_2012Metric,~,,,,,,,,,,,,
D1,1,SS34,,,,PCM_Diode_SMD_AKL:D_SMC,https://www.tme.eu/Document/4534c3d1273464918563ce78bdeb2ece/SS34-E3-57T.pdf,,,,,,,,,,,,
"D2,D3,D4,D5,D6,D7",6,LED,,,,LED_SMD:LED_0805_2012Metric,~,,,,,,,,,,,,
J1,1,USB_C_Receptacle_USB2.0_16P,,,,Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,,,,,,,,,,,,
J2,1,JST_2mm_LiPo,,,,SparkFun-Connector:JST_SMD_2.0mm-2,~,,,,,,,,,,,,
"J3,J4",2,Conn_01x06_Socket,,,,Connector_PinHeader_2.00mm:PinHeader_1x06_P2.00mm_Vertical,~,,,,,,,,,,,,
"J5,J6,J7,J8",4,Conn_01x02_Socket,,,,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,~,,,,,,,,,,,,
Q1,1,AO3401A,,,,PCM_Package_TO_SOT_SMD_AKL:SOT-23,https://www.tme.eu/Document/d25b071532a0a1e329733a03427696ee/AO3401A-DTE.pdf,,,,,,,,,,,,
"R1,R2,R15,R19,R20,R24,R25,R26",8,10k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,,,,,
"R3,R8,R9,R10",4,100k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,,,,,
R4,1,470R,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,,,,,
R5,1,3.3k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,,,,,
"R6,R7",2,1.3k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,,,,,
"R11,R12,R13,R14,R16",5,1k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,,,,,
R17,1,22.1k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,,,,,
R18,1,47.5k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,,,,,
R21,1,4.7k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,,,,,
"R22,R23",2,200m,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,,,,,,,,
SW1,1,SW_DPDT_x2,,,,SparkFun-Switch:Slide_DPDT_SMD_7.2x3.5mm,~,,,,,,,,,,,,
U1,1,ESP32-WROOM-32,,,,RF_Module:ESP32-WROOM-32,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf,,,,,,,,,,,,
U2,1,MIC5219-3.3YM5,,,,Package_TO_SOT_SMD:SOT-23-5,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC5219-500mA-Peak-Output-LDO-Regulator-DS20006021A.pdf,,,,,,,,,,,,
U3,1,TP4056-42-ESOP8,,,,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf,,,,,,,,,,,,
U4,1,CP2102N-Axx-xQFN28,,,,Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf,,,,,,,,,,,,
U5,1,DDC114TU-7-F,,,,DDC114TU-7-F:SOT_363_DIO,DDC114TU-7-F,,,,,,,,,,,,
U6,1,MPU-6050,,,,MPU-6050:QFN24_4X4X0P9-0P5_TDK,MPU-6050,,,,,,,,,,,,
"U7,U8",2,DRV8833PWP,,,,Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,http://www.ti.com/lit/ds/symlink/drv8833.pdf,,,,,,,,,,,,
U9,1,PCF8574ATS,,,,Package_SO:SSOP-20_4.4x6.5mm_P0.65mm,http://www.nxp.com/docs/en/data-sheet/PCF8574_PCF8574A.pdf,,,,,,,,,,,,
