pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
210.185,-81.915,180.0,top,C1,,,C_0805_2012Metric,10uF,smt
233.953793,-109.861266,90.0,top,C10,,,C_0805_2012Metric,10uF,smt
227.965,-102.235,180.0,top,C11,,,C_0805_2012Metric,0.1uF,smt
227.940514,-106.457384,180.0,top,C12,,,C_0805_2012Metric,10uF,smt
227.959651,-104.30798,0.0,top,C13,,,C_0805_2012Metric,0.1uF,smt
210.82,-101.6,90.0,top,C14,,,C_0805_2012Metric,0.01uF,smt
207.645,-100.965,180.0,top,C15,,,C_0805_2012Metric,10uF,smt
207.645,-103.505,0.0,top,C16,,,C_0805_2012Metric,2.2uF,smt
245.14287,-103.111482,0.0,top,C17,,,C_0805_2012Metric,0.01uF,smt
245.11,-105.41,180.0,top,C18,,,C_0805_2012Metric,2.2uF,smt
245.11,-100.965,0.0,top,C19,,,C_0805_2012Metric,10uF,smt
210.185,-84.455,180.0,top,C2,,,C_0805_2012Metric,1uF,smt
231.577981,-109.843924,90.0,top,C20,,,C_0805_2012Metric,1uF,smt
214.63,-81.915,180.0,top,C3,,,C_0805_2012Metric,0.1uF,smt
234.95,-118.11,180.0,top,C4,,,C_0805_2012Metric,10u,smt
240.08,-108.9097,0.0,top,C5,,,C_0805_2012Metric,22uF,smt
240.08,-113.9897,0.0,top,C6,,,C_0805_2012Metric,470pF,smt
240.08,-111.4497,0.0,top,C7,,,C_0805_2012Metric,10uF,smt
219.71,-120.015,90.0,top,C8,,,C_0805_2012Metric,10uF,smt
236.22,-109.855,90.0,top,C9,,,C_0805_2012Metric,0.1uF,smt
242.3668,-119.5324,0.0,top,D1,,,D_SMC,SS34,smt
243.9025,-111.4497,0.0,top,D2,,,LED_0805_2012Metric,LED,smt
208.28,-121.285,0.0,top,D3,,,LED_0805_2012Metric,LED,smt
212.725,-123.4948,180.0,top,D4,,,LED_0805_2012Metric,LED,smt
238.76,-85.260087,180.0,top,D5,,,LED_0805_2012Metric,LED,smt
238.733448,-83.2104,180.0,top,D6,,,LED_0805_2012Metric,LED,smt
238.7282,-81.161705,180.0,top,D7,,,LED_0805_2012Metric,LED,smt
226.06,-120.65,0.0,top,J1,,,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,USB_C_Receptacle_USB2.0_16P,smt
208.8896,-118.3132,180.0,bottom,J2,,,JST_SMD_2.0mm-2,JST_2mm_LiPo,tht
238.76,-97.71,180.0,top,J3,,,PinHeader_1x06_P2.00mm_Vertical,Conn_01x06_Socket,tht
213.995,-97.71,180.0,top,J4,,,PinHeader_1x06_P2.00mm_Vertical,Conn_01x06_Socket,tht
200.2028,-75.2856,-45.0,top,J5,,,PinHeader_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
200.8124,-129.0828,-135.0,top,J6,,,PinHeader_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
251.2568,-127.762,135.0,top,J7,,,PinHeader_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
252.6284,-75.3364,45.0,top,J8,,,PinHeader_1x02_P2.00mm_Vertical,Conn_01x02_Socket,tht
234.95,-121.285,90.0,top,Q1,,,SOT-23,AO3401A,smt
240.03,-100.33,180.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
219.71,-116.205,90.0,top,R10,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100k,smt
242.468263,-85.260087,0.0,top,R11,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
242.543448,-83.242783,0.0,top,R12,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
242.52025,-81.173266,0.0,top,R13,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
214.63,-109.855,0.0,top,R14,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
210.185,-112.395,180.0,top,R15,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
214.63,-112.395,0.0,top,R16,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
231.775,-113.665,90.0,top,R17,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22.1k,smt
210.185,-109.855,0.0,top,R18,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47.5k,smt
240.03,-106.045,0.0,top,R19,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
214.589955,-83.971134,0.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
